GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086009029,12,86,9029,"Census Tract 90.29, Miami-Dade County, Florida",,4110,1091,459,26.55,11.17,1979,535,48.15,13.02,1040,482,25.3,11.73
1400000US12086009030,12,86,9030,"Census Tract 90.30, Miami-Dade County, Florida",,5166,1061,589,20.54,11.4,2330,690,45.1,13.36,1775,615,34.36,11.9
1400000US12086009031,12,86,9031,"Census Tract 90.31, Miami-Dade County, Florida",,4101,557,470,13.58,11.46,2030,545,49.5,13.29,1514,480,36.92,11.7
1400000US12086009039,12,86,9039,"Census Tract 90.39, Miami-Dade County, Florida",,6255,2540,791,40.61,12.65,2653,879,42.41,14.05,1062,729,16.98,11.65
1400000US12086009040,12,86,9040,"Census Tract 90.40, Miami-Dade County, Florida",,7044,2529,802,35.9,11.39,3211,892,45.58,12.66,1304,737,18.51,10.46
1400000US12086009043,12,86,9043,"Census Tract 90.43, Miami-Dade County, Florida",,5226,1154,658,22.08,12.59,2936,727,56.18,13.91,1136,596,21.74,11.4
1400000US12086009044,12,86,9044,"Census Tract 90.44, Miami-Dade County, Florida",,3392,1026,388,30.25,11.44,2095,436,61.76,12.85,271,361,7.99,10.64
1400000US12086009048,12,86,9048,"Census Tract 90.48, Miami-Dade County, Florida",,3657,2022,466,55.29,12.74,1151,516,31.47,14.11,484,435,13.23,11.89
1400000US12086009049,12,86,9049,"Census Tract 90.49, Miami-Dade County, Florida",,5018,1113,556,22.18,11.08,3087,624,61.52,12.44,818,526,16.3,10.48
1400000US12086009050,12,86,9050,"Census Tract 90.50, Miami-Dade County, Florida",,4768,947,564,19.86,11.83,3128,634,65.6,13.3,693,529,14.53,11.09
1400000US12086009051,12,86,9051,"Census Tract 90.51, Miami-Dade County, Florida",,2488,571,273,22.95,10.97,1409,329,56.63,13.22,508,305,20.42,12.26
1400000US12086009052,12,86,9052,"Census Tract 90.52, Miami-Dade County, Florida",,3611,717,406,19.86,11.24,2138,499,59.21,13.82,756,469,20.94,12.99
1400000US12086009053,12,86,9053,"Census Tract 90.53, Miami-Dade County, Florida",,3986,859,457,21.55,11.47,2057,536,51.61,13.45,1070,484,26.84,12.14
1400000US12086009054,12,86,9054,"Census Tract 90.54, Miami-Dade County, Florida",,1720,575,191,33.43,11.1,717,236,41.69,13.72,428,223,24.88,12.97
1400000US12086009055,12,86,9055,"Census Tract 90.55, Miami-Dade County, Florida",,2322,339,260,14.6,11.2,1357,323,58.44,13.91,626,308,26.96,13.26
1400000US12086009056,12,86,9056,"Census Tract 90.56, Miami-Dade County, Florida",,2835,1124,306,39.65,10.79,865,341,30.51,12.03,846,293,29.84,10.34
1400000US12086009057,12,86,9057,"Census Tract 90.57, Miami-Dade County, Florida",,5565,1473,652,26.47,11.72,2625,723,47.17,12.99,1467,590,26.36,10.6
1400000US12086009058,12,86,9058,"Census Tract 90.58, Miami-Dade County, Florida",,4870,895,566,18.38,11.62,2824,637,57.99,13.08,1151,551,23.63,11.31
1400000US12086009059,12,86,9059,"Census Tract 90.59, Miami-Dade County, Florida",,3525,873,436,24.77,12.37,1472,490,41.76,13.9,1180,414,33.48,11.74
1400000US12086009060,12,86,9060,"Census Tract 90.60, Miami-Dade County, Florida",,5427,1680,698,30.96,12.86,3002,778,55.32,14.34,745,648,13.73,11.94
